destination_name,country,climate,avg_temp,cost_index,safety_score,tourism_density,activities,num_reviews,best_season,tags,budget_tier,travel_style,keyword_label,secondary_styles,labeling_confidence
Bangkok,Thailand,tropical,28.0,3,5,4,"shopping,nightlife,food,temples,beaches",40,Nov-Feb,"temple,culture,palace,market,street-food,history,shrine,heritage",budget,culture,culture,"family,budget",low
Chiang Mai,Thailand,tropical,26.0,4,5,4,"shopping,cycling,museums,food,temples",40,Nov-Apr,"temple,trekking,culture,elephant,tradition,mountain,heritage,night-bazaar",budget,culture,culture,"family,adventure",low
Phuket,Thailand,tropical,28.0,4,2,3,"beaches,diving,shopping,surfing,cycling",40,Nov-Apr,"beach,resort,diving,snorkeling,spa,pool,sunset,island",mid,relaxation,adventure,relaxation,low
Krabi,Thailand,tropical,28.0,7,7,3,beaches,1,Nov-Apr,"climbing,kayaking,diving,beach,limestone,adventure,rock-climbing",mid,adventure,budget,,low
Koh Samui,Thailand,tropical,28.0,5,4,3,"beaches,nightlife,diving,cycling,shopping",37,Dec-Apr,"beach,spa,resort,pool,yoga,massage,tranquil,sunset",mid,relaxation,culture,"relaxation,family",low
Pattaya,Thailand,tropical,28.0,4,6,4,"beaches,shopping,cycling,nightlife,wildlife",40,Nov-Apr,"budget,affordable,beach,backpacking,hostel,cheap,nightlife",budget,budget,family,"budget,culture",low
Ayutthaya,Thailand,tropical,28.0,3,8,4,"temples,shopping,food,cycling,museums",40,Nov-Feb,"ancient,ruins,temple,UNESCO,history,monument,heritage,palace,shrine",budget,culture,culture,"family,budget",low
Koh Tao,Thailand,tropical,28.0,4,9,2,"diving,beaches,shopping,nightlife,food",40,Apr-Oct,"diving,snorkeling,scuba,beach,coral,adventure,surfing",budget,adventure,adventure,"relaxation,luxury",low
Pai,Thailand,highland,22.0,4,9,4,"food,shopping,nightlife,cycling,hiking",29,Nov-Mar,"yoga,meditation,peaceful,hot-springs,mountain,tranquil,zen,retreat,serene",budget,relaxation,budget,,low
Chiang Rai,Thailand,tropical,25.0,3,10,4,"shopping,food,temples,nightlife,cycling",40,Nov-Apr,"temple,culture,trekking,hill-tribes,heritage,ancient,shrine",budget,culture,culture,"relaxation,family",low
Hua Hin,Thailand,tropical,28.0,4,10,4,"shopping,beaches,food,cycling,nightlife",40,Nov-Apr,"family,beach,safe,kids,children,resort,park,family-friendly",mid,family,relaxation,"culture,family",low
Koh Phi Phi,Thailand,tropical,28.0,4,10,3,"beaches,diving,shopping,food,nightlife",40,Nov-Apr,"diving,beach,snorkeling,kayaking,limestone,adventure,cliff",mid,adventure,adventure,"relaxation,family",low
Railay Beach,Thailand,tropical,28.0,4,2,3,"beaches,climbing,food,nightlife,diving",27,Nov-Apr,"climbing,rock-climbing,beach,kayaking,isolated,adventure,limestone",mid,adventure,budget,,low
Kanchanaburi,Thailand,tropical,28.0,4,10,4,"wildlife,shopping,food,cycling,temples",40,Nov-Feb,"history,heritage,ancient,rafting,culture,monument,war,traditional",budget,culture,culture,"relaxation,family",low
Sukhothai,Thailand,tropical,28.0,4,10,3,"temples,shopping,food,cycling,museums",34,Nov-Feb,"ancient,ruins,UNESCO,history,temple,heritage,monument,palace",budget,culture,culture,"family,budget",low
Koh Lanta,Thailand,tropical,28.0,5,9,4,"beaches,food,shopping,nightlife,diving",40,Nov-Apr,"beach,peaceful,quiet,serene,sunset,tranquil,yoga,spa",budget,relaxation,relaxation,"culture,family",low
Khao Yai,Thailand,tropical,25.0,5,6,3,"shopping,food,wildlife,hiking,cycling",19,Nov-Feb,"wildlife,safari,trekking,hiking,adventure,national-park,elephant",mid,adventure,budget,,low
Phang Nga,Thailand,tropical,28.0,3,10,4,"beaches,diving,temples,shopping,food",23,Nov-Apr,"kayaking,caves,limestone,adventure,mangrove,cliff,surfing",mid,adventure,budget,,low
Samui Luxury,Thailand,tropical,28.0,6,7,3,,50,Dec-Apr,"luxury,villa,resort,spa,fine-dining,exclusive,private,upscale,5-star",luxury,luxury,luxury,relaxation,medium
