name,country,climate,travel_style,budget_tier,best_season,tags
Bangkok,Thailand,tropical,culture,budget,Nov-Feb,"temple,culture,palace,market,street-food,history,shrine,heritage"
Chiang Mai,Thailand,tropical,culture,budget,Nov-Apr,"temple,trekking,culture,elephant,tradition,mountain,heritage,night-bazaar"
Phuket,Thailand,tropical,relaxation,mid,Nov-Apr,"beach,resort,diving,snorkeling,spa,pool,sunset,island"
Krabi,Thailand,tropical,adventure,mid,Nov-Apr,"climbing,kayaking,diving,beach,limestone,adventure,rock-climbing"
Koh Samui,Thailand,tropical,relaxation,mid,Dec-Apr,"beach,spa,resort,pool,yoga,massage,tranquil,sunset"
Pattaya,Thailand,tropical,budget,budget,Nov-Apr,"budget,affordable,beach,backpacking,hostel,cheap,nightlife"
Ayutthaya,Thailand,tropical,culture,budget,Nov-Feb,"ancient,ruins,temple,UNESCO,history,monument,heritage,palace,shrine"
Koh Tao,Thailand,tropical,adventure,budget,Apr-Oct,"diving,snorkeling,scuba,beach,coral,adventure,surfing"
Pai,Thailand,highland,relaxation,budget,Nov-Mar,"yoga,meditation,peaceful,hot-springs,mountain,tranquil,zen,retreat,serene"
Chiang Rai,Thailand,tropical,culture,budget,Nov-Apr,"temple,culture,trekking,hill-tribes,heritage,ancient,shrine"
Hua Hin,Thailand,tropical,family,mid,Nov-Apr,"family,beach,safe,kids,children,resort,park,family-friendly"
Koh Phi Phi,Thailand,tropical,adventure,mid,Nov-Apr,"diving,beach,snorkeling,kayaking,limestone,adventure,cliff"
Railay Beach,Thailand,tropical,adventure,mid,Nov-Apr,"climbing,rock-climbing,beach,kayaking,isolated,adventure,limestone"
Kanchanaburi,Thailand,tropical,culture,budget,Nov-Feb,"history,heritage,ancient,rafting,culture,monument,war,traditional"
Sukhothai,Thailand,tropical,culture,budget,Nov-Feb,"ancient,ruins,UNESCO,history,temple,heritage,monument,palace"
Koh Lanta,Thailand,tropical,relaxation,budget,Nov-Apr,"beach,peaceful,quiet,serene,sunset,tranquil,yoga,spa"
Khao Yai,Thailand,tropical,adventure,mid,Nov-Feb,"wildlife,safari,trekking,hiking,adventure,national-park,elephant"
Phang Nga,Thailand,tropical,adventure,mid,Nov-Apr,"kayaking,caves,limestone,adventure,mangrove,cliff,surfing"
Samui Luxury,Thailand,tropical,luxury,luxury,Dec-Apr,"luxury,villa,resort,spa,fine-dining,exclusive,private,upscale,5-star"
Chiang Dao,Thailand,highland,adventure,budget,Nov-Mar,"trekking,hiking,mountain,cave,adventure,wildlife,climbing"
Hanoi,Vietnam,subtropical,culture,budget,Oct-Apr,"temple,culture,history,heritage,ancient,museum,traditional,colonial,shrine,monument"
Ho Chi Minh City,Vietnam,tropical,culture,budget,Dec-Apr,"history,museum,culture,heritage,colonial,market,traditional,monument"
Hoi An,Vietnam,tropical,culture,mid,Feb-Jul,"ancient,UNESCO,heritage,culture,architecture,traditional,art,lanterns"
Ha Long Bay,Vietnam,subtropical,adventure,mid,Mar-Nov,"kayaking,diving,climbing,adventure,cave,limestone,expedition,snorkeling"
Da Nang,Vietnam,tropical,relaxation,mid,Mar-Sep,"beach,resort,spa,swimming,pool,sunset,relaxing,calm"
Hue,Vietnam,subtropical,culture,budget,Mar-Aug,"imperial,palace,temple,museum,heritage,cultural,ancient,history,monument,shrine"
Sa Pa,Vietnam,highland,adventure,budget,Mar-May,"trekking,hiking,mountain,climbing,expedition,adventure,rice-terrace"
Phu Quoc,Vietnam,tropical,relaxation,luxury,Nov-Apr,"beach,resort,spa,luxury,villa,private,sunset,paradise,pool,tranquil"
Dalat,Vietnam,highland,relaxation,budget,Nov-Apr,"peaceful,garden,waterfall,quiet,serene,cool,calm,retreat,tranquil"
Ninh Binh,Vietnam,subtropical,adventure,budget,Sep-Dec,"kayaking,cave,trekking,hiking,adventure,boat,cycling,expedition"
Nha Trang,Vietnam,tropical,relaxation,mid,Feb-Sep,"beach,diving,snorkeling,resort,spa,pool,sunset,relaxing,island"
Mui Ne,Vietnam,tropical,adventure,budget,Nov-Apr,"surfing,adventure,sand-dune,kite-surfing,beach,kayaking,hiking"
Mekong Delta,Vietnam,tropical,culture,budget,Dec-Apr,"culture,traditional,heritage,boat,crafts,museum,market,ancient"
Hoa Lu,Vietnam,subtropical,culture,budget,Oct-Apr,"ancient,temple,history,heritage,monument,cultural,ruins,shrine,palace"
Con Dao,Vietnam,tropical,relaxation,luxury,Nov-Apr,"beach,paradise,peaceful,pristine,resort,private,tranquil,quiet,serene"
Bali Ubud,Indonesia,tropical,culture,mid,Apr-Oct,"temple,culture,traditional,heritage,art,yoga,meditation,cultural,shrine,palace"
Bali Seminyak,Indonesia,tropical,luxury,luxury,Apr-Oct,"luxury,villa,resort,fine-dining,exclusive,private,upscale,beach,spa,5-star"
Bali Kuta,Indonesia,tropical,budget,budget,Apr-Oct,"surfing,budget,backpacking,affordable,cheap,hostel,beach,inexpensive"
Yogyakarta,Indonesia,tropical,culture,budget,Apr-Oct,"UNESCO,ancient,temple,heritage,culture,traditional,monument,palace,ruins,history"
Lombok,Indonesia,tropical,adventure,mid,May-Sep,"trekking,hiking,mountain,diving,surfing,adventure,climbing,expedition"
Komodo Island,Indonesia,tropical,adventure,mid,Apr-Aug,"diving,snorkeling,trekking,wildlife,adventure,expedition,hiking,kayaking"
Raja Ampat,Indonesia,tropical,adventure,luxury,Oct-Apr,"diving,snorkeling,adventure,expedition,wildlife,remote,kayaking"
Gili Islands,Indonesia,tropical,relaxation,mid,Apr-Aug,"beach,snorkeling,diving,tranquil,peaceful,sunset,paradise,calm,resort"
Nusa Penida,Indonesia,tropical,adventure,mid,Apr-Oct,"diving,snorkeling,cliff,adventure,hiking,kayaking,beach,wildlife"
Jakarta,Indonesia,tropical,culture,budget,Jun-Sep,"museum,culture,history,heritage,traditional,colonial,market,art,architecture"
Tana Toraja,Indonesia,highland,culture,mid,Jul-Sep,"traditional,culture,heritage,ceremony,ancient,cultural,monument,art"
Lake Toba Sumatra,Indonesia,highland,relaxation,budget,Jun-Sep,"lake,peaceful,calm,quiet,serene,tranquil,culture,yoga,retreat"
Flores,Indonesia,tropical,adventure,budget,Apr-Oct,"trekking,hiking,adventure,diving,expedition,climbing,mountain,wildlife"
Amed Bali,Indonesia,tropical,adventure,budget,Apr-Oct,"diving,snorkeling,adventure,beach,coral,expedition,kayaking"
Bromo Java,Indonesia,highland,adventure,mid,Apr-Sep,"volcano,trekking,hiking,adventure,sunrise,expedition,climbing,mountain"
Bandung,Indonesia,highland,budget,budget,May-Sep,"budget,affordable,cheap,hostel,shopping,backpacking,inexpensive,value"
Bintan,Indonesia,tropical,luxury,luxury,Jun-Sep,"resort,luxury,spa,villa,private,exclusive,beach,fine-dining,upscale,5-star"
Bogor,Indonesia,tropical,family,budget,Jun-Sep,"family,park,kids,children,educational,garden,zoo,safe,family-friendly"
Belitung,Indonesia,tropical,relaxation,mid,Apr-Oct,"beach,peaceful,pristine,quiet,serene,tranquil,paradise,sunset,calm"
Tokyo,Japan,temperate,culture,luxury,"Mar-May,Sep-Nov","temple,culture,museum,heritage,architecture,traditional,art,palace,shrine,history"
Kyoto,Japan,temperate,culture,mid,"Mar-May,Oct-Nov","temple,shrine,UNESCO,culture,heritage,traditional,ancient,history,palace,monument,geisha"
Osaka,Japan,temperate,culture,budget,"Mar-May,Sep-Nov","culture,history,museum,castle,architecture,street-food,heritage,traditional,affordable"
Hiroshima,Japan,temperate,culture,mid,"Apr-May,Oct","peace,history,monument,UNESCO,heritage,museum,cultural,ancient,memorial"
Hakone,Japan,temperate,relaxation,luxury,"Oct-Nov,Jan-Mar","onsen,hot-springs,resort,spa,peaceful,tranquil,mountain,calm,zen,yoga,retreat"
Nara,Japan,temperate,culture,mid,"Mar-May,Oct-Nov","temple,heritage,UNESCO,ancient,history,monument,shrine,cultural,park,museum"
Okinawa,Japan,subtropical,relaxation,mid,Apr-Jun,"beach,diving,snorkeling,resort,spa,peaceful,island,paradise,calm,sunset"
Nagano,Japan,continental,adventure,mid,"Dec-Mar,Jun-Sep","skiing,hiking,trekking,mountain,adventure,hot-springs,expedition,climbing"
Kanazawa,Japan,temperate,culture,mid,"Apr-May,Oct-Nov","geisha,traditional,culture,arts,heritage,ancient,museum,palace,shrine"
Arashiyama,Japan,temperate,relaxation,mid,"Mar-Apr,Nov","peaceful,zen,temple,bamboo,tranquil,serene,calm,garden,meditation,quiet"
Nikko,Japan,temperate,culture,mid,"Apr-May,Oct-Nov","shrine,temple,UNESCO,heritage,monument,ancient,cultural,architecture,history"
Fuji Five Lakes,Japan,temperate,adventure,mid,"Apr-May,Jul-Sep","hiking,trekking,climbing,adventure,mountain,expedition,surf,kayaking"
Sapporo,Japan,continental,adventure,budget,"Feb-Mar,Jul-Aug","skiing,adventure,budget,affordable,cheap,hostel,trekking,hiking,backpacking"
Takayama,Japan,continental,culture,mid,"Apr-May,Oct-Nov","traditional,culture,heritage,ancient,festival,sake,monument,museum,art,shrine"
Miyajima,Japan,temperate,culture,mid,"Apr-May,Oct-Nov","shrine,UNESCO,heritage,culture,ancient,monument,temple,history,architecture"
Kamakura,Japan,temperate,culture,mid,"Mar-May,Sep-Nov","temple,ancient,heritage,culture,monument,shrine,history,hiking,trekking"
Shinjuku Japan,Japan,temperate,budget,budget,"Mar-May,Sep-Nov","budget,affordable,hostel,cheap,street-food,nightlife,backpacking,inexpensive"
Beppu Onsen,Japan,subtropical,relaxation,mid,"Oct-Nov,Mar-May","onsen,hot-springs,spa,relaxing,resort,peaceful,tranquil,zen,calm,massage"
Sendai,Japan,temperate,culture,mid,"Apr-May,Aug","culture,castle,history,heritage,museum,traditional,shrine,ancient,monument"
Seoul,South Korea,temperate,culture,budget,"Mar-May,Sep-Nov","palace,culture,heritage,history,traditional,museum,monument,ancient,shrine,affordable"
Busan,South Korea,temperate,relaxation,mid,Jun-Sep,"beach,spa,resort,peaceful,temple,tranquil,calm,seafood,sunset"
Jeju Island,South Korea,subtropical,adventure,mid,"Mar-Jun,Sep-Nov","trekking,hiking,volcano,adventure,diving,beach,climbing,expedition,mountain"
Gyeongju,South Korea,temperate,culture,budget,"Apr-May,Oct","UNESCO,ancient,temple,heritage,history,tombs,cultural,monument,shrine,ruins"
Jeonju,South Korea,temperate,culture,budget,"Mar-May,Sep-Nov","traditional,heritage,culture,ancient,architecture,museum,art,shrine,cultural"
Seoraksan,South Korea,temperate,adventure,budget,Sep-Oct,"hiking,trekking,mountain,adventure,climbing,expedition,wildlife,national-park"
Incheon,South Korea,temperate,budget,budget,"Apr-May,Sep-Oct","budget,affordable,cheap,hostel,backpacking,inexpensive,market,street-food"
Andong,South Korea,temperate,culture,budget,Sep-Oct,"traditional,folk-village,heritage,culture,ancient,history,museum,art,cultural"
Namhansanseong,South Korea,temperate,adventure,budget,"Mar-May,Oct-Nov","hiking,trekking,mountain,fortress,adventure,climbing,expedition"
Sokcho,South Korea,temperate,adventure,budget,"Jul-Aug,Oct","hiking,trekking,beach,adventure,mountain,climbing,national-park,wildlife"
Kathmandu,Nepal,highland,culture,budget,"Oct-Dec,Mar-May","temple,culture,heritage,history,traditional,shrine,monument,palace,ancient,UNESCO"
Pokhara,Nepal,highland,adventure,budget,"Oct-Dec,Mar-May","trekking,hiking,paragliding,mountain,adventure,climbing,expedition,lake"
Everest Base Camp,Nepal,highland,adventure,mid,"Oct-Nov,Apr-May","extreme,trekking,mountaineering,expedition,climbing,hiking,adventure,mountain"
Annapurna Circuit,Nepal,highland,adventure,budget,"Oct-Nov,Mar-Apr","trekking,hiking,mountain,expedition,adventure,climbing,remote,extreme"
Chitwan,Nepal,subtropical,adventure,mid,Oct-Mar,"wildlife,safari,elephant,tigers,adventure,trekking,national-park,expedition"
Lumbini,Nepal,subtropical,culture,budget,Oct-Mar,"UNESCO,heritage,pilgrimage,temple,monument,ancient,cultural,history,shrine"
Patan,Nepal,highland,culture,budget,"Oct-Dec,Mar-May","medieval,ancient,temple,UNESCO,heritage,traditional,architecture,monument,art"
Bhaktapur,Nepal,highland,culture,budget,"Oct-Nov,Mar-Apr","medieval,ancient,UNESCO,temple,heritage,traditional,pottery,monument,shrine"
Bardia,Nepal,subtropical,adventure,mid,Oct-Apr,"wildlife,safari,tigers,trekking,adventure,expedition,national-park,remote"
Bandipur,Nepal,highland,relaxation,budget,"Oct-Nov,Mar-Apr","peaceful,tranquil,quiet,serene,hilltop,calm,zen,retreat,views,village"
El Nido Palawan,Philippines,tropical,adventure,mid,Dec-May,"diving,kayaking,snorkeling,beach,cliff,adventure,limestone,expedition"
Boracay,Philippines,tropical,relaxation,mid,Nov-May,"beach,resort,spa,water-sports,sunset,tranquil,paradise,pool,calm,yoga"
Cebu,Philippines,tropical,budget,budget,Dec-May,"diving,budget,affordable,backpacking,cheap,hostel,island,street-food,inexpensive"
Siargao,Philippines,tropical,adventure,mid,Mar-May,"surfing,adventure,diving,beach,kayaking,expedition,island"
Bohol,Philippines,tropical,adventure,mid,Dec-May,"diving,island-hopping,adventure,wildlife,trekking,kayaking,snorkeling"
Manila,Philippines,tropical,culture,budget,Dec-May,"history,museum,culture,heritage,colonial,architecture,traditional,market,monument"
Coron Palawan,Philippines,tropical,adventure,mid,Dec-May,"diving,snorkeling,kayaking,adventure,lagoon,expedition,beach,cliff"
Batanes Islands,Philippines,subtropical,relaxation,mid,Mar-Jun,"peaceful,quiet,remote,tranquil,serene,views,calm,rolling-hills,zen"
Siquijor,Philippines,tropical,relaxation,budget,Dec-May,"beach,diving,peaceful,tranquil,waterfall,quiet,calm,serene,paradise"
Vigan,Philippines,subtropical,culture,budget,Nov-Apr,"UNESCO,heritage,colonial,architecture,history,cultural,monument,ancient,traditional"
Siem Reap,Cambodia,tropical,culture,budget,Nov-Apr,"UNESCO,Angkor,temple,ruins,ancient,heritage,history,monument,cultural,shrine"
Phnom Penh,Cambodia,tropical,culture,budget,Nov-Apr,"history,museum,heritage,colonial,cultural,market,monument,traditional,ancient"
Kampot,Cambodia,tropical,relaxation,budget,Nov-Apr,"peaceful,riverside,calm,cycling,quiet,tranquil,serene,budget,affordable,cheap"
Koh Rong,Cambodia,tropical,relaxation,budget,Nov-Apr,"beach,diving,snorkeling,peaceful,paradise,tranquil,budget,island,calm,sunset"
Battambang,Cambodia,tropical,culture,budget,Nov-Apr,"colonial,heritage,culture,traditional,history,art,museum,ancient,cultural"
Kratie,Cambodia,tropical,adventure,budget,Nov-Apr,"wildlife,cycling,adventure,boat,river,expedition,remote,kayaking"
Mondulkiri,Cambodia,highland,adventure,mid,Nov-Apr,"elephant,wildlife,trekking,hiking,adventure,waterfall,expedition,safari,national-park"
Kep,Cambodia,tropical,relaxation,budget,Nov-Apr,"beach,seafood,peaceful,quiet,tranquil,serene,calm,resort,relaxing"
Singapore City,Singapore,tropical,luxury,luxury,all-year,"luxury,fine-dining,exclusive,5-star,upscale,resort,private,villa,marina"
Sentosa Singapore,Singapore,tropical,family,luxury,all-year,"family,kids,children,aquarium,theme-park,resort,beach,safe,park,educational"
Little India SG,Singapore,tropical,culture,budget,all-year,"culture,temple,heritage,traditional,market,street-food,history,monument,shrine"
Clarke Quay SG,Singapore,tropical,budget,mid,all-year,"budget,nightlife,riverside,affordable,food,hostel,backpacking,cheap,inexpensive"
Chinatown SG,Singapore,tropical,culture,budget,all-year,"temple,culture,heritage,traditional,market,history,street-food,shrine,monument"
Penang,Malaysia,tropical,culture,budget,Dec-Feb,"UNESCO,heritage,culture,traditional,street-food,temple,art,architecture,monument,history"
Langkawi,Malaysia,tropical,relaxation,mid,Nov-Apr,"beach,resort,mangrove,spa,tranquil,peaceful,paradise,island,calm,sunset"
Kota Kinabalu,Malaysia,tropical,adventure,mid,Apr-Oct,"trekking,hiking,mountain,adventure,diving,wildlife,expedition,climbing,safari"
Cameron Highlands,Malaysia,highland,relaxation,budget,all-year,"peaceful,tea,hiking,quiet,tranquil,cool,calm,serene,yoga,garden,retreat"
Malacca,Malaysia,tropical,culture,budget,Jun-Aug,"UNESCO,heritage,colonial,culture,history,traditional,architecture,monument,shrine,ancient"
Perhentian Islands,Malaysia,tropical,relaxation,budget,Apr-Oct,"beach,snorkeling,diving,peaceful,paradise,tranquil,calm,island,sunset,serene"
Tioman Island,Malaysia,tropical,adventure,mid,Apr-Sep,"diving,snorkeling,trekking,adventure,jungle,beach,kayaking,wildlife,expedition"
Taman Negara,Malaysia,tropical,adventure,mid,Apr-Oct,"trekking,hiking,wildlife,adventure,jungle,safari,expedition,canopy,kayaking"
Ipoh,Malaysia,tropical,culture,budget,Nov-Jan,"heritage,culture,temple,history,architecture,traditional,museum,monument,colonial,ancient"
Yangon,Myanmar,tropical,culture,budget,Nov-Feb,"UNESCO,pagoda,temple,heritage,culture,history,colonial,traditional,monument,shrine"
Bagan,Myanmar,tropical,culture,mid,Nov-Feb,"ancient,temple,ruins,UNESCO,heritage,monument,palace,history,cultural,shrine"
Mandalay,Myanmar,tropical,culture,budget,Nov-Feb,"palace,temple,culture,heritage,traditional,ancient,monastery,shrine,history,monument"
Inle Lake,Myanmar,highland,culture,mid,Nov-Feb,"traditional,culture,heritage,crafts,floating-village,ancient,cultural,peaceful,lake"
Ngapali,Myanmar,tropical,relaxation,mid,Oct-Apr,"beach,peaceful,pristine,tranquil,quiet,serene,paradise,resort,sunset,calm"
